Extra_Column_2,Calc_Column_2,Calc_Column_3,Calc_Column_4,Calc_Column_5,Extra_Column_1,Calc_Column_1,Extra_Column_3,Extra_Column_4,Extra_Column_5,Extra_Column_6,Extra_Column_7,Extra_Column_8,Extra_Column_9,Extra_Column_10,Calculation
55.16,57.23,17.67,11.32,81.56,76.93,81.95,30.52,16.08,29.29,35.18,80.45,82.9,65.4,77.86,249.73
90.34,46.78,76.79,34.71,82.89,15.22,78.05,17.02,87.72,47.14,44.61,53.96,22.76,74.15,25.07,319.22
55.39,75.77,48.62,27.05,15.68,62.56,92.58,29.3,60.25,93.44,77.85,77.16,73.98,46.34,75.52,259.7
44.24,17.53,88.83,41.39,57.74,63.26,29.91,47.47,76.18,71.39,30.25,67.72,20.75,86.3,31.1,235.4
80.46,24.92,4.99,98.05,61.34,49.07,89.71,42.63,90.55,74.29,69.96,24.84,11.63,34.51,89.04,279.01
81.24,73.58,9.79,47.41,13.22,63.52,19.27,8.31,37.6,5.66,26.23,69.93,61.88,19.12,19,163.27
83.67,72.14,20.79,97.57,58.1,57.04,53.27,75.02,98.81,23.88,90.45,8.96,44.19,85.63,66.41,301.87
19.58,75.3,24.77,63.79,93.82,21.08,70.88,41.48,59.08,75.74,55.44,50.73,23.39,25.49,42.71,328.56
34.91,97.54,84.96,85.09,38.61,12.4,79.59,18.68,39.03,14.35,17.45,73.81,60.4,22.12,32.95,385.79
89.44,72.25,18.48,34.64,3.02,91.97,76.95,55.88,63.31,72.36,80.15,45.66,74.27,3.82,88.61,205.34
80.96,80.42,46,65.45,58.14,33.76,93.4,33.05,75.63,74.39,6.4,46.49,2.28,41.2,84.32,343.41
33.27,94.27,84.17,37.87,27.22,34.17,88.38,54.22,25.59,98.94,14.96,20.51,31.42,51.7,16.9,331.91
68.86,64.05,77.64,53.08,71.23,74.37,57.55,83.77,84.39,10.85,29.55,37.42,61.23,66.45,27.56,323.55
35.22,78.87,69.59,31.51,56.99,26.18,97.71,1.65,96.32,16.25,69.64,38.61,62.26,52.55,73.39,334.67
10.24,97.85,64.75,72.79,28.93,83.15,74.27,22.58,97.65,70.47,11.71,52.24,97.27,95.74,58.23,338.59
9.93,85.94,85.38,99.1,22.9,77.04,81.29,96.3,27.7,65.58,15.21,4.49,35.02,63.96,85.46,374.61
43.68,61.38,25.5,82.06,92.4,81.01,50.41,92.9,40.79,11.06,52.71,4.53,10.33,87.65,49.69,311.75
43.53,59.43,95.91,86.41,33.37,91.32,55.38,62.07,16.9,67.31,39.5,11,57.03,7.57,83.09,330.5
1.45,89.59,36.86,72.67,70.06,32.82,75.81,53.63,30.64,40.46,37.39,96.95,32.61,62.51,19.97,344.99
